Goal,SeriesCode,TimePeriod,count(*)
17,IT_USE_ii99,2000,27
17,IT_USE_ii99,2001,27
17,IT_USE_ii99,2002,27
17,IT_USE_ii99,2003,27
17,IT_USE_ii99,2004,27
17,IT_USE_ii99,2005,27
17,IT_USE_ii99,2006,27
17,IT_USE_ii99,2007,27
17,IT_USE_ii99,2008,27
17,IT_USE_ii99,2009,27
17,IT_USE_ii99,2010,27
17,IT_USE_ii99,2011,27
17,IT_USE_ii99,2012,27
17,IT_USE_ii99,2013,27
17,IT_USE_ii99,2014,27
17,IT_USE_ii99,2015,27
17,IT_USE_ii99,2016,27
17,IT_USE_ii99,2017,27
9,EN_ATM_CO2GDP,2000,27
9,EN_ATM_CO2GDP,2001,27
9,EN_ATM_CO2GDP,2002,27
9,EN_ATM_CO2GDP,2003,27
9,EN_ATM_CO2GDP,2004,27
9,EN_ATM_CO2GDP,2005,27
9,EN_ATM_CO2GDP,2006,27
9,EN_ATM_CO2GDP,2007,27
9,EN_ATM_CO2GDP,2008,27
9,EN_ATM_CO2GDP,2009,27
9,EN_ATM_CO2GDP,2010,27
9,EN_ATM_CO2GDP,2011,27
9,EN_ATM_CO2GDP,2012,27
9,EN_ATM_CO2GDP,2013,27
9,EN_ATM_CO2GDP,2014,27
9,EN_ATM_CO2GDP,2015,27
9,EN_ATM_CO2GDP,2016,27
9,EN_ATM_CO2MVA,2000,27
9,EN_ATM_CO2MVA,2001,27
9,EN_ATM_CO2MVA,2002,27
9,EN_ATM_CO2MVA,2003,27
9,EN_ATM_CO2MVA,2004,27
9,EN_ATM_CO2MVA,2005,27
9,EN_ATM_CO2MVA,2006,27
9,EN_ATM_CO2MVA,2007,27
9,EN_ATM_CO2MVA,2008,27
9,EN_ATM_CO2MVA,2009,27
9,EN_ATM_CO2MVA,2010,27
9,EN_ATM_CO2MVA,2011,27
9,EN_ATM_CO2MVA,2012,27
9,EN_ATM_CO2MVA,2013,27
9,EN_ATM_CO2MVA,2014,27
9,EN_ATM_CO2MVA,2015,27
9,EN_ATM_CO2MVA,2016,27
9,GB_XPD_RSDV,2000,23
9,GB_XPD_RSDV,2001,25
9,GB_XPD_RSDV,2002,24
9,GB_XPD_RSDV,2003,27
9,GB_XPD_RSDV,2004,27
9,GB_XPD_RSDV,2005,27
9,GB_XPD_RSDV,2006,27
9,GB_XPD_RSDV,2007,27
9,GB_XPD_RSDV,2008,27
9,GB_XPD_RSDV,2009,27
9,GB_XPD_RSDV,2010,27
9,GB_XPD_RSDV,2011,27
9,GB_XPD_RSDV,2012,27
9,GB_XPD_RSDV,2013,27
9,GB_XPD_RSDV,2014,27
9,GB_XPD_RSDV,2015,27
9,GB_XPD_RSDV,2016,27
9,NV_IND_MANF,2000,27
9,NV_IND_MANF,2001,27
9,NV_IND_MANF,2002,27
9,NV_IND_MANF,2003,27
9,NV_IND_MANF,2004,27
9,NV_IND_MANF,2005,27
9,NV_IND_MANF,2006,27
9,NV_IND_MANF,2007,27
9,NV_IND_MANF,2008,27
9,NV_IND_MANF,2009,27
9,NV_IND_MANF,2010,27
9,NV_IND_MANF,2011,27
9,NV_IND_MANF,2012,27
9,NV_IND_MANF,2013,27
9,NV_IND_MANF,2014,27
9,NV_IND_MANF,2015,27
9,NV_IND_MANF,2016,27
9,NV_IND_MANF,2017,27
9,NV_IND_MANF,2018,27
9,NV_IND_SSIS,2000,23
9,NV_IND_SSIS,2001,23
9,NV_IND_SSIS,2002,22
9,NV_IND_SSIS,2003,26
9,NV_IND_SSIS,2004,26
9,NV_IND_SSIS,2005,25
9,NV_IND_SSIS,2006,25
9,NV_IND_SSIS,2007,26
9,NV_IND_SSIS,2008,26
9,NV_IND_SSIS,2009,27
9,NV_IND_SSIS,2010,27
9,NV_IND_SSIS,2011,27
9,NV_IND_SSIS,2012,27
9,NV_IND_SSIS,2013,27
9,NV_IND_SSIS,2014,27
9,NV_IND_SSIS,2015,27
9,NV_IND_SSIS,2016,27
9,NV_IND_TECH,2000,27
9,NV_IND_TECH,2001,27
9,NV_IND_TECH,2002,27
9,NV_IND_TECH,2003,27
9,NV_IND_TECH,2004,27
9,NV_IND_TECH,2005,27
9,NV_IND_TECH,2006,27
9,NV_IND_TECH,2007,27
9,NV_IND_TECH,2008,27
9,NV_IND_TECH,2009,27
9,NV_IND_TECH,2010,27
9,NV_IND_TECH,2011,27
9,NV_IND_TECH,2012,27
9,NV_IND_TECH,2013,27
9,NV_IND_TECH,2014,27
9,NV_IND_TECH,2015,27
9,NV_IND_TECH,2016,27
